decimalLatitude,decimalLongitude,eventDate,month,species
-34.2000007629,18.3733005524,1991-03-21 12:00:00+00:00,3,whale_shark
-21.9013,113.9015,2008-06-21 12:00:00+00:00,6,whale_shark
26.9303818852,33.9578885806,2023-11-14 13:43:00+00:00,11,whale_shark
-21.9013,113.9015,1998-04-13 12:00:00+00:00,4,whale_shark
-13.31667,48.25,2005-11-28 12:00:00+00:00,11,whale_shark
12.9333,123.533,2008-03-08 12:00:00+00:00,3,whale_shark
-21.9013,113.9015,2008-07-25 12:00:00+00:00,7,whale_shark
-21.9013,113.9015,2005-05-21 12:00:00+00:00,5,whale_shark
24.1773851485,-110.3624402952,2024-12-05 18:20:14+00:00,12,whale_shark
-22.00692,113.89989,2008-05-13 12:00:00+00:00,5,whale_shark
9.5222813998,123.5366850863,2023-07-06 07:27:00+00:00,7,whale_shark
-23.9736,35.5122,2006-02-12 12:00:00+00:00,2,whale_shark
